NPC,LIKENESS,ROLE,R-S,CLASS,RANK,COMPANY,PRIMUS,SECUNDUS,TERTIUS,AI,SQUAD,VEHICLE,SHIP,SYSTEM,MUSIC,QUOTE
Buck Rogers,Gil Gerard,Explorer,hm,Pilot-6,O5,Longbow,Admin,nan,nan,Twikii,SSS(S3),nan,Searcher,Roup,nan,Outta Time
Cammi,nan,Employer,f,Trader-5,E2,Cammis Commandos,Striker,nan,nan,nan,Carlas,air/raft,Cruncher,Jewell,nan,"Come on, is that it?"
Deathlock,2000AD,Demolisher,hm,Cyborg-1,O5,Damage Inc,Khaos,nan,nan,nan,Demolishers,nan,nan,Boughene,nan,Khaos Abounds
Col Sam Carter,Stargate,Manager,hf,Navy-6,O4,Stargate,Orders,nan,nan,nan,OSG,nan,SG1,Jewell,nan,nan
Lt. Pillox,nan,Snooty Shit,hm, COACC,O1,Atari Death Squadron,Orders,nan,nan,nan,A.D.S.,nan,Iramda,Regina,nan,Keep Space Clean – Dump in Jump
Mike,nan,Mechanic,hm,Other-5,E2,Mike & the Mechanics,Mechanic,Singing,Drugs,nan,Mechanics,nan,nan,Feri,nan,Make it now
Fat Fran,nan,Mechanic,hf,Other-4,O3,Frans Faire,Food,nan,nan,nan,League of Fatties,nan,nan,nan,nan,We will speack
Aftab the Greek,Jabba,Crimelord,hm,Criminal-8,O6,???,Crime,nan,nan,nan,Family n Underworld,nan,Many,Feri,nan,Lemme tell you a story about friends
Savage Sid,Autoduel,Salvage,hm,Mech-6,E1,Sids Salvage,Salvage,nan,nan,Backstock,Scrappers,Truck A,nan,Efate,nan,Got a wreck needs towing?
Poe,Altered Carbon,AI Hotel,hm,Steward-4,E6,The Raven,Custoer,nan,nan,Poe,Hotel,Cabbi,nan,Lysen,nan,We are fully equipped for any delectation or delight
Lucy,Lucy Lawless,Attorney,hf,Law-8,E1,Legal Eagles,Law,Law,Truth,nan,Book Babes,nan,nan,Regina,nan,I will ask my boss
Robyn,Robyn,Singer,hf,Perform-4,E1,FemBots,Music,Dance,Robotics,nan,Robyns Hoods,nan,nan,Lysen,Fembots,nan
Solitaire,Jane Seymour,Prophecy,hf,Tarot-4,O4,Crocs & Co,Tarot,Companion,Lounging,nan,Voodooms,nan,nan,Jewell,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nemesis,2000AD,Warlock,m,Mystic-10,O5,ABC Warriors,Khaos,nan,nan,nan,Grandfather,nan,nan,Boughene,nan,nan
Torquemada,2000AD,BAD,m,Mystic-12,O6,ABC Warriors,Khaos,nan,nan,Slave,Terminators,Coach of Doom,nan,Boughene,nan,"Be Pure, Be Vigilant, Behave!"
Deadlock,2000AD,Leader,m,???,O4,ABC Warriors,Khaos,???,???,???,Termites,nan,nan,Boughene,nan,nan
Hammerstein,2000AD,Muscle,m,Marine-5,O3,ABC Warriors,Combat,Repair,Leader,Rover,Rovers,nan,nan,Boughene,nan,Here we go again
Joe Pineapples,2000AD,Sniper,m,Army-4,E5,ABC Warriors,Recon,Sniper,Vixens,Sexii,Joebots,nan,nan,Boughene,nan,Easy
Ro Jaws,2000AD,Trash,m,Other-4,nan,ABC Warriors,Trash,Oil,Trouble,M8,Dusty Bin,nan,nan,Boughene,nan,Wotcha Mate
Happy Shrapnel,2000AD,Stubborn,m,Army-4,nan,ABC Warriors,Combat,nan,Zippo,Scanner,Mongrol,nan,nan,Boughene,nan,Wheres my Zippo?
General BlackBlood,2000AD,Nasty,m,Marine-5,nan,ABC Warriors,Interrogate,nan,nan,Meanii,Straw Dogs,nan,nan,Boughene,nan,Ssssssalvage
Mek Quake,2000AD,Stoopid,m,Other-4,nan,ABC Warriors,Drive,nan,nan,-NO-!,ABC Warriors,nan,nan,Boughene,nan,Big Jobs
Morrigun,2000AD,BarBot,f,Other-4,nan,ABC Warriors,Entertain,nan,nan,nan,The Girls,nan,nan,Boughene,nan,"Nice piece, now look at this"
Mongrol,2000AD,Para,m,Marine-5,nan,ABC Warriors,Paradroid,nan,nan,nan,ABC Warriors,nan,nan,Boughene,nan,Who`s my girl
Metal Mickey,TV,Juke Box,m,Music,nan,ABC Warriors,Boogie,nan,nan,nan,Company73,nan,nan,Boughene,nan,nan
Marvin,HHGTTG,Moaner,m,Navigator,nan,HHGTTG,Moan,Navigate,nan,nan,nan,nan,nan,nan,nan,nan
